country (nominal),tests (discrete data),population (discrete data),Population density (per sq km) (continuous data),Median age (continuous data),%urban pop. (continuous data),Global Freedom Scores,Human Freedom Index,strigency index,containment_index,most recent arrivals 2018 or 2019 (discrete data) ,Gini (discrete data),% always or frequently wearing facemask outside  (continuous data),Vaccine acceptance (%) general public (continuous data),Rule of Law Index  (continuous data),Number of days in Lockdown (discrete data),Actual cases,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,M1_Wildcard,StringencyIndex,StringencyLegacyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
Albania,"506,676","2,875,589",107,36.399,61,66,7.80,60.19,63.72,"6,406,000",0.637,,,0.5,,"117,474",2,1,1,1,2,1,4,1,0,,2,1,0,,3,1,1,2,0,0,2,1,2,2,0,0,4,1,1,1,3,1,,60.19,67.86,67.4,66.31,75
Austria,"6,033,827","9,042,407",106,43.483,59,93,7.80,74.07,75.51,"31,884,000",0.739,,,,203,"495,464",3,0,2,1,2,1,4,1,1,1,2,1,1,0,3,2,1,2,0,0,2,1,3,2,0,0,3,1,2,1,3,1,,74.07,80.95,80.1,77.26,100
Belgium,"10,110,146","11,624,988",384,41.928,98,96,7.56,60.19,63.33,"9,343,000",0.603,,,,232,"808,283",1,1,2,1,2,1,4,1,0,,2,1,0,,4,2,1,1,0,0,2,1,2,2,0,0,3,1,2,1,2,1,,62.96,71.43,66.56,65.36,75
Bosnia and Herzegovina,"702,920","3,266,449",75,43.108,49,53,6.90,42.59,41.92,"1,198,000",0.642,,,,71,"142,160",1,1,2,0,1,1,3,1,0,,2,0,0,,1,1,1,1,0,0,2,1,2,0,0,0,3,1,1,1,3,0,,42.59,50.71,45.52,44.88,50
Croatia,"1,431,342","4,087,440",75,44.291,57,85,7.36,47.22,49.23,"60,021,000",0.645,,,,,"251,174",1,1,2,1,1,1,4,1,0,,0,,0,,3,1,0,1,0,0,2,1,3,0,0,0,3,1,2,1,3,1,,47.22,57.14,50.94,52.86,37.5
Cyprus,"2,563,270","1,213,513",131,37.9,67,94 (78),7.84,80.56,81.54,"4,117,000",0.801,,,,306,"39,651",2,1,2,1,2,1,4,1,1,1,2,1,2,1,3,2,1,2,0,0,2,1,3,2,0,0,3,1,3,1,3,1,,80.56,84.52,85,82.86,100
Czechia,"9,665,502","10,722,926",136,43.203,74,91,7.81,72.22,73.59,"36,268,000",0.725,,,,165,"1,402,420",3,1,2,1,2,1,4,1,1,0,2,1,2,1,3,2,0,1,0,0,2,1,2,2,0,0,4,1,2,1,3,1,,81.48,83.33,79.06,81.43,62.5
Denmark,"20,418,687","5,806,809",136,42.298,88,97,8.10,66.67,66.15,"32,903,000",0.838,83.9,80,,,"220,459",2,1,3,1,2,1,4,1,0,,1,1,0,,4,2,1,0,0,0,2,1,3,1,0,0,2,1,3,1,2,1,,66.67,75,64.17,66.19,50
Estonia,"1,038,888","1,327,161",27,42.424,69,94,7.96,41.67,44.74,"6,103,000",0.716,,,,,"86,086",1,1,2,1,1,1,2,1,0,,0,,0,,3,0,,2,0,0,2,1,2,1,0,0,2,1,2,1,0,,,41.67,52.38,42.6,41.55,50
Finland,"3,596,402","5,546,762",16,43.128,85,100,7.76,55.09,52.12,"3,290,000",0.742,79.1,,,,"67,334",2,0,2,0,2,1,4,0,0,,1,1,0,,3,2,1,1,0,0,2,1,2,1,0,0,1,1,2,1,2,1,,55.09,60.71,55.89,53.15,75
France,"57,231,533","65,374,874",105,42.338,81,90,7.40,60.19,64.55,"211,998,000",0.696,94.7,76.9,,200,"4,071,662",1,1,2,1,2,1,4,1,0,,2,1,0,,3,2,1,0,0,0,2,1,3,1,0,0,4,0,3,1,2,1,,60.19,67.86,62.86,64.7,50
Germany,"46,319,641","83,971,874",225,45.744,77,94,7.85,83.33,71.03,"39,563,000",0.816,89,70,,124,"2,578,835",3,1,3,1,2,1,4,1,1,1,2,0,2,0,3,2,0,0,0,0,2,1,1,1,0,0,2,1,2,1,2,1,,83.33,86.9,66.56,70.71,37.5
Greece,"5,856,618","10,387,221",80,45.55,79,87,6.71,81.48,79.62,"34,005,000",0.654,,,,303,"221,147",3,1,2,1,2,1,4,1,1,1,2,1,2,0,3,2,0,2,0,0,2,1,2,2,0,0,3,1,3,1,3,1,,81.48,84.52,81.88,81.07,87.5
Hungary,"4,104,415","9,643,103",105,43.336,72,69,7.44,72.22,67.44,"61,397,000",0.663,,,,211,"524,196",2,1,2,1,2,1,4,1,1,1,2,1,0,,4,1,0,1,0,0,2,1,2,1,0,0,2,1,3,1,3,1,,72.22,84.52,65.73,69.76,37.5
