States,Tests,Population,Population density (per sq km),Median age,% urban population,Global Freedom Scores,Human Freedom Index,strigency index,containment_index,most recent arrivals 2018 or 2019,Gini - gov 2019,% always or frequently wearing facemask outside,Vaccine acceptance (%),,,,,,,,,,,,,,,,,,,,"Predicted cases (tests, population & gini)",,Predicted cases (tests & population),,Actual cases (measured)
South Dakota,696656,884659,4.633225903,37,56.7,,,,,,0.436,76.7,80.86,,,,,,,,,,,,,,,,,,,,,,73338.8,,111304
Tennessee,6834882,6829174,64.86516264,38.7,66.4,,,,,,0.475,87.5,76.3,,,,,,,,,,,,,,,,,,,,,,578185,,765137
Texas,19764177,28995881,44.01564607,34.6,84.7,,,,,,0.475,94.2,81.4,,,,,,,,,,,,,,,,,,,,,,2.38E+06,,2588101
Utah,2886369,3205958,15.44408634,30.8,90.6,,,,,,0.427,93,83.86,,,,,,,,,,,,,,,,,,,,,,268766,,366735
Vermont,1094855,623989,26.25494678,42.9,38.9,,,,,,0.447,94.7,89.72,,,,,,,,,,,,,,,,,,,,,,56716.8,,14493
Virginia,5972272,8535519,84.17027056,38.2,75.5,,,,,,0.469,96.1,85.56,,,,,,,,,,,,,,,,,,,,,,701407,,565270
Washington,5320381,7614893,45.17395255,37.7,84.1,,,,,,0.458,95.9,86.17,,,,,,,,,,,,,,,,,,,,,,625691,,334614
West Virginia,2207676,1792147,28.57155973,42.5,48.7,,,,,,0.464,94.4,79.95,,,,,,,,,,,,,,,,,,,,,,155152,,129616
Wisconsin,7008539,5822434,41.69903312,39.5,70.2,,,,,,0.439,90.3,82.28,,,,,,,,,,,,,,,,,,,,,,502713,,612240
Wyoming,646179,578759,2.316612951,37.7,56,,,,,,0.435,71.9,70.47,,,,,,,,,,,,,,,,,,,,,,49553.3,,53795
