country (nominal),tests (discrete data),population (discrete data),Population density (per sq km) (continuous data),Median age (continuous data),%urban pop. (continuous data),Gini (discrete data),% always or frequently wearing facemask outside (continuous data),Vaccine acceptance (%) general public (continuous data),Number of days in Lockdown (discrete data),C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,M1_Wildcard,StringencyIndex,StringencyLegacyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
Portugal,"8,480,932","10,175,800",112,46.158,66,0.692,,75,118,3,1,3,1,2,1,4,1,1,1,2,1,0,,3,1,1,2,0,0,2,1,3,1,0,0,3,1,3,1,2,1,,76.85,88.1,74.58,74.52,75
Romania,"6,774,562","19,147,305",89,43.171,54,0.647,,,201,3,1,2,1,2,1,4,1,0,,2,0,2,1,3,2,0,2,0,0,2,1,2,2,0,0,4,1,3,1,1,1,,76.85,78.57,76.67,75.12,87.5
Serbia,"3,149,048","8,712,609",91,41.575,56,0.676,,,,1,1,2,1,2,1,4,1,0,,1,1,1,1,1,2,0,1,0,0,2,1,2,2,0,0,3,1,4,1,2,1,,56.48,59.52,63.85,64.05,62.5
Slovak Republic,"2,200,380","5,461,499",111,41.249,54,0.498,,,115,3,0,2,1,2,1,4,1,0,,2,1,2,0,2,2,0,2,0,0,2,1,3,2,0,0,4,1,2,1,3,1,,71.3,67.86,78.54,77.26,87.5
Slovenia,"976,907","2,079,139",104,44.539,55,0.662,,,46,2,0,2,1,2,1,4,1,1,1,1,1,2,1,2,2,1,1,0,0,2,1,3,1,0,0,4,1,3,1,2,1,,72.22,77.38,73.54,73.33,75
Spain,"40,292,390","46,767,497",99,44.858,81,0.694,98.2,74.5,272,1,1,2,1,2,1,4,1,0,,2,1,2,1,3,2,0,2,0,0,2,1,2,1,0,0,4,1,2,1,1,1,,71.3,71.43,69.17,66.55,87.5
Sweden,"6,627,544","10,143,382",23,41.078,88,0.867,23.2,65.2,,2,0,2,1,2,1,4,1,1,1,1,1,1,1,3,2,0,0,0,0,2,1,2,1,0,0,1,1,2,1,3,0,,69.44,76.19,60.31,63.57,37.5
Switzerland,"5,387,481","8,698,941",219,43.053,74,0.705,,,,2,1,2,1,2,1,4,1,0,,1,1,0,,3,2,0,0,0,0,2,1,2,2,0,0,3,1,2,1,2,1,,60.19,67.86,60.31,63.57,37.5
UK,"103,053,938","68,135,945",270,40.467,84,0.746,80.8,79,256,3,1,3,1,2,1,4,1,1,1,2,1,2,1,3,2,1,2,0,0,2,1,2,1,0,0,3,1,3,1,3,1,,87.96,91.67,83.96,81.67,100
Ukraine,"7,328,468","43,548,757",73,41.178,69,0.847,,,,2,1,2,1,1,1,3,1,1,1,1,1,0,,2,1,0,1,0,0,2,1,3,2,0,0,2,1,0,,2,1,,54.63,70.95,55.21,57.74,37.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
