,Date,State,District,Confirmed,Recovered,Deceased,Tested,Population
351,2021-02-11,Uttar Pradesh,Chitrakoot,2189,2172,15,234060.0,991730
352,2021-02-11,Uttar Pradesh,Deoria,6761,6595,95,304520.0,3100946
353,2021-02-11,Uttar Pradesh,Etah,2533,2491,27,263295.0,1774480
354,2021-02-11,Uttar Pradesh,Etawah,5765,5611,106,297761.0,1581810
355,2021-02-11,Uttar Pradesh,Farrukhabad,4707,4615,88,231856.0,1885204
356,2021-02-11,Uttar Pradesh,Fatehpur,3833,3687,68,82928.0,2632733
357,2021-02-11,Uttar Pradesh,Firozabad,3886,3799,68,322656.0,2498156
358,2021-02-11,Uttar Pradesh,Gautam Buddha Nagar,25419,25281,91,675396.0,1648115
359,2021-02-11,Uttar Pradesh,Ghaziabad,26656,26488,102,712611.0,4681645
360,2021-02-11,Uttar Pradesh,Ghazipur,5252,5144,92,265737.0,3620268
361,2021-02-11,Uttar Pradesh,Gonda,5066,4973,70,241234.0,3433919
362,2021-02-11,Uttar Pradesh,Gorakhpur,21436,21009,362,480536.0,4440895
363,2021-02-11,Uttar Pradesh,Hardoi,5939,5753,109,224784.0,4092845
364,2021-02-11,Uttar Pradesh,Jalaun,3986,3905,47,221719.0,1689974
365,2021-02-11,Uttar Pradesh,Jaunpur,6714,6603,99,322824.0,4494204
366,2021-02-11,Uttar Pradesh,Jhansi,10438,10216,178,312540.0,1998603
367,2021-02-11,Uttar Pradesh,Kannauj,3499,3446,49,124019.0,1656616
368,2021-02-11,Uttar Pradesh,Kanpur Dehat,2127,2073,36,344697.0,1796184
369,2021-02-11,Uttar Pradesh,Kanpur Nagar,32944,32023,838,685820.0,4581268
370,2021-02-11,Uttar Pradesh,Kaushambi,2266,2237,27,207064.0,1599596
371,2021-02-11,Uttar Pradesh,Kushinagar,5707,5585,62,314772.0,3564544
372,2021-02-11,Uttar Pradesh,Lalitpur,3464,3391,47,21781.0,1221592
373,2021-02-11,Uttar Pradesh,Lucknow,81626,80049,1185,1237583.0,4589838
374,2021-02-11,Uttar Pradesh,Mahoba,1476,1462,12,142992.0,875958
375,2021-02-11,Uttar Pradesh,Mainpuri,3836,3735,76,228496.0,1868529
376,2021-02-11,Uttar Pradesh,Mathura,6821,6693,112,198379.0,2547184
377,2021-02-11,Uttar Pradesh,Mau,3065,3019,39,281445.0,2205968
378,2021-02-11,Uttar Pradesh,Meerut,22320,21526,438,798404.0,3443689
379,2021-02-11,Uttar Pradesh,Mirzapur,3455,3393,46,312764.0,2496970
380,2021-02-11,Uttar Pradesh,Moradabad,11884,11635,183,400459.0,4772006
381,2021-02-11,Uttar Pradesh,Muzaffarnagar,8866,8702,111,161704.0,4143512
382,2021-02-11,Uttar Pradesh,Pilibhit,4201,4110,81,291538.0,2031007
383,2021-02-11,Uttar Pradesh,Rae Bareli,5541,5410,111,387408.0,3405559
384,2021-02-11,Uttar Pradesh,Rampur,5521,5421,58,274288.0,2335819
385,2021-02-11,Uttar Pradesh,Saharanpur,10097,9929,135,266387.0,3466382
386,2021-02-11,Uttar Pradesh,Sant Kabir Nagar,3414,3355,44,292606.0,1715183
387,2021-02-11,Uttar Pradesh,Shahjahanpur,6946,6815,113,437195.0,3006538
388,2021-02-11,Uttar Pradesh,Shrawasti,1366,1346,18,221566.0,1117361
389,2021-02-11,Uttar Pradesh,Siddharthnagar,4088,4017,53,295047.0,2559297
390,2021-02-11,Uttar Pradesh,Sitapur,4833,4745,81,289473.0,4483992
391,2021-02-11,Uttar Pradesh,Sonbhadra,5000,4835,75,306175.0,1862559
392,2021-02-11,Uttar Pradesh,Sultanpur,4988,4839,77,309395.0,3797117
393,2021-02-11,Uttar Pradesh,Unnao,4554,4348,86,298886.0,3108367
394,2021-02-11,Uttar Pradesh,Varanasi,23469,22936,456,595510.0,3676841
395,2021-02-11,Uttarakhand,Almora,3257,3031,25,84443.0,622506
396,2021-02-11,Uttarakhand,Bageshwar,1540,1446,17,55626.0,259898
397,2021-02-11,Uttarakhand,Chamoli,3477,3352,15,90390.0,391605
398,2021-02-11,Uttarakhand,Champawat,1818,1721,9,95068.0,259648
399,2021-02-11,Uttarakhand,Dehradun,29542,28087,956,401496.0,1696694
400,2021-02-11,Uttarakhand,Nainital,12654,12246,232,204422.0,954605
401,2021-02-11,Uttarakhand,Pithoragarh,3356,3261,46,72686.0,483439
402,2021-02-11,Uttarakhand,Rudraprayag,2269,2234,10,52378.0,242285
403,2021-02-11,Uttarakhand,Tehri Garhwal,4230,4031,16,105111.0,618931
404,2021-02-11,Uttarakhand,Udham Singh Nagar,11517,11234,117,337292.0,1648902
405,2021-02-11,Uttarakhand,Uttarkashi,3792,3643,17,120026.0,330086
