,Date,State,District,Confirmed,Recovered,Deceased,Tested,Population
80,2021-02-11,Gujarat,Patan,4237,4179,53,169059.0,1343734
81,2021-02-11,Gujarat,Porbandar,728,724,4,97912.0,585449
82,2021-02-11,Gujarat,Rajkot,22679,22265,200,731251.0,3804558
83,2021-02-11,Gujarat,Surat,52858,51625,976,1938229.0,6081322
84,2021-02-11,Gujarat,Surendranagar,3540,3499,13,201153.0,1756268
85,2021-02-11,Gujarat,Tapi,1074,1066,7,92524.0,807022
86,2021-02-11,Gujarat,Vadodara,28806,28415,240,695670.0,4165626
87,2021-02-11,Gujarat,Valsad,1410,1395,9,155380.0,1705678
88,2021-02-11,Himachal Pradesh,Chamba,2968,2900,52,53505.0,519080
89,2021-02-11,Himachal Pradesh,Hamirpur,3043,2987,49,46407.0,1104285
90,2021-02-11,Himachal Pradesh,Hamirpur,3043,2987,49,46407.0,454768
91,2021-02-11,Uttar Pradesh,Hamirpur,1581,1558,21,240382.0,1104285
92,2021-02-11,Uttar Pradesh,Hamirpur,1581,1558,21,240382.0,454768
93,2021-02-11,Himachal Pradesh,Kangra,8300,7997,205,94910.0,1510075
94,2021-02-11,Himachal Pradesh,Kinnaur,1373,1344,16,6730.0,84121
95,2021-02-11,Himachal Pradesh,Kullu,4429,4333,83,12012.0,437903
96,2021-02-11,Himachal Pradesh,Mandi,10222,9906,125,41895.0,999777
97,2021-02-11,Himachal Pradesh,Shimla,10424,10125,265,32922.0,814010
98,2021-02-11,Himachal Pradesh,Sirmaur,3459,3409,31,42564.0,529855
99,2021-02-11,Himachal Pradesh,Solan,6746,6659,73,57200.0,580320
100,2021-02-11,Himachal Pradesh,Una,2955,2832,42,52905.0,521173
101,2021-02-11,Haryana,Ambala,11884,11710,144,206003.0,1128350
102,2021-02-11,Haryana,Bhiwani,6331,6177,145,176225.0,1634445
103,2021-02-11,Haryana,Faridabad,46357,45886,415,504970.0,1809733
104,2021-02-11,Haryana,Fatehabad,4725,4602,118,27456.0,942011
105,2021-02-11,Haryana,Hisar,17110,16771,324,322039.0,1743931
106,2021-02-11,Haryana,Jhajjar,5918,5816,102,186853.0,958405
107,2021-02-11,Haryana,Jind,4906,4798,94,11157.0,1334152
108,2021-02-11,Haryana,Kaithal,3898,3822,54,11687.0,1074304
109,2021-02-11,Haryana,Karnal,11198,11002,153,185147.0,1505324
110,2021-02-11,Haryana,Kurukshetra,8900,8716,134,198881.0,964655
111,2021-02-11,Haryana,Mahendragarh,6614,6592,21,143253.0,922088
112,2021-02-11,Haryana,Palwal,4428,4390,35,139809.0,1042708
113,2021-02-11,Haryana,Panchkula,10636,10401,147,118725.0,561293
114,2021-02-11,Haryana,Panipat,10785,10591,153,58863.0,1205437
115,2021-02-11,Haryana,Rewari,11377,11272,76,151363.0,900332
116,2021-02-11,Haryana,Rohtak,12295,12123,150,25894.0,1061204
117,2021-02-11,Haryana,Sirsa,8075,7936,116,150193.0,1295189
